"ASV","Phylum","Class","Order","Family","Genus","Species","s.C_wild","s.H_wild","s.O_wild","p.value","stat"
"11ae66f777a2e9bf18d1579578cf1954","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella",NA,1,NA,NA,0.005,0.891
"2f09b2e2a46164807f74ab8beba064c6","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia",NA,1,NA,NA,0.01,0.934
"462055cd6defaa12d5c41eded8532f8e","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__gut_metagenome",1,NA,NA,0.005,0.879
"118c6306a9db8a2074635074f7d90c84","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__gut_metagenome",1,NA,NA,0.005,0.89
"84d782d662adfe0d4572585cefafb6b1","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides",NA,1,NA,NA,0.005,0.899
"a7f494f382ad168adadc3fc16d0f47bb","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_RC9_gut_group","s__uncultured_bacterium",1,NA,NA,0.005,0.953
"16fc35d7238aa661a832234c178281c3","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__uncultured_bacterium",1,NA,NA,0.01,0.864
"b6379fd4f3a7d2c52d0d261714136c31","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-003","s__uncultured_bacterium",1,NA,NA,0.015,0.844
"6d534a09162722f86cdc289491fa3cec","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,1,NA,NA,0.02,0.903
"7d9a7f29775c1b1f2eb5aa21b37a62ff","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium",1,NA,NA,0.02,0.938
"cfeecc427c85c4b9a39ba5871d21eb68","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__uncultured_bacterium",1,NA,NA,0.025,0.85
"d94d458615a2d9c7684689fe5fbbe4d0","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__uncultured_bacterium",1,NA,NA,0.005,0.88
"94be885e769625bd18e5f979972796c7","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__UCG-004","s__gut_metagenome",1,NA,NA,0.005,0.882
"fa28663eecb595681afc1895a376af2c","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-010",NA,1,NA,NA,0.005,0.883
"06f7b909a3fad0bd581dd107f3835b22","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_nodatum_group","s__uncultured_organism",1,NA,NA,0.005,0.892
"0bcaeb000362815ea4871ee69c407b65","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Erysipelatoclostridium","s__unidentified",1,NA,NA,0.005,0.894
"4c4a1521ce6db85f9b6bc2ef04a33eea","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Candidatus_Stoquefichus","s__gut_metagenome",1,NA,NA,0.005,0.894
"c3ad161334e69c38318d41808df62838","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group","s__uncultured_bacterium",1,NA,NA,0.005,0.895
"6a37e286f8bf7b4292865668f71e2ae4","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_prokaryote",1,NA,NA,0.005,0.904
"d8734b2b721115b2ebab69900e532510","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured",NA,1,NA,NA,0.005,0.912
"958a518080466103d9a4804ac8c68284","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__uncultured_bacterium",1,NA,NA,0.005,0.93
"44b2c21e6aff0de62602fb97d31503b2","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae",NA,NA,1,NA,NA,0.005,0.937
"50efc974dc15941345bcff5b4e96e15a","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA,1,NA,NA,0.005,0.944
"76f8efcc44e5ecb634df336567c3c87f","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured","s__human_gut",1,NA,NA,0.005,0.956
"9191d88f4606c27ab1151aceca415357","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_brachy_group","s__uncultured_bacterium",1,NA,NA,0.005,0.958
"a1b5039ab5e75b1d19be59d1ad3d2486","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_torques_group","s__Ruminococcus_torques",1,NA,NA,0.005,0.96
"869cf3585652868e3833c8e0ee697af6","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group",NA,1,NA,NA,0.005,0.961
"8354ed736268c7e261e225222f0b4740","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Negativibacillus",NA,1,NA,NA,0.005,0.968
"401cad1caaf0490502f3cc0a99dab71a","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__uncultured","s__uncultured_organism",1,NA,NA,0.005,0.972
"e9d145e145015913a500c636ac585664","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured","s__Intestinimonas_massiliensis",1,NA,NA,0.005,0.973
"4eaa5ef2e730e2caf8d78330b4d99cd6","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillibacter","s__Oscillibacter_sp.",1,NA,NA,0.005,0.974
"08f4e7eeb648a1072c0e8d62e33ff2f9","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__Clostridia_vadinBB60_group","g__Clostridia_vadinBB60_group","s__uncultured_organism",1,NA,NA,0.005,0.98
"3f32a617552f59256b1ccda67e563925","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Phocea","s__uncultured_bacterium",1,NA,NA,0.005,0.987
"7204a3922148d3512d228aac56ad908d","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__Butyricicoccus","s__uncultured_bacterium",1,NA,NA,0.01,0.802
"f50b15661d91e07389f0d1d09d6ddff0","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_torques_group","s__uncultured_Clostridium",1,NA,NA,0.01,0.831
"92a58faf37d7a8bcb3dd91f10e554ed2","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Eubacteriaceae","g__Eubacterium",NA,1,NA,NA,0.01,0.881
"2045e346ec865bfa2d6b68702908c662","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_bacterium",1,NA,NA,0.01,0.916
"48fa3ab94c18d1d3be5c3400f79c86c7","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group",NA,1,NA,NA,0.015,0.804
"45d8855e215a3f8ac791d9997a400c4d","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured","s__uncultured_rumen",1,NA,NA,0.015,0.813
"2bcf425025be62937ec12fbc5cb71906","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Oribacterium","s__uncultured_bacterium",1,NA,NA,0.015,0.859
"230eecdc272a7678b68c67564715079b","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Peptoclostridium",NA,1,NA,NA,0.015,0.861
"172253762c87148dba70c41ed4908d31","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__uncultured","s__uncultured_bacterium",1,NA,NA,0.015,0.873
"425a59286be22347aef98bb4dce59feb","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured",NA,1,NA,NA,0.015,0.885
"eca16f5d7a614cac3895480a0ef3a92a","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA,1,NA,NA,0.015,0.896
"996f7ae75876378c15821d42e38f308f","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__UCG-004","s__unidentified_rumen",1,NA,NA,0.015,0.913
"b33b139248247b8225368926e05bfd81","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium_sensu_stricto_1","s__Clostridium_perfringens",1,NA,NA,0.02,0.812
"10bed7e26a20bf32c61f1c6ea6aa8492","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Negativibacillus","s__uncultured_bacterium",1,NA,NA,0.02,0.827
"7c7018c2f083cc594b984539aca2f43a","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia",NA,1,NA,NA,0.025,0.876
"76d5bbf6da7afa38016597a45b5c0d4a","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_bacterium",1,NA,NA,0.03,0.869
"ff21d4b504a433f91b1bd9af629ab022","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_nodatum_group","s__uncultured_bacterium",1,NA,NA,0.03,0.878
"97f08a76f761a4d9d8f76f404070d007","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_organism",1,NA,NA,0.035,0.813
"b180429d0c085fc95bfb347f31e36910","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae",NA,NA,1,NA,NA,0.035,0.932
"76960ca0349321f053252c9c393a7f5c","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005",NA,1,NA,NA,0.045,0.93
"3a90d95cf7f5cb83be7bfc65927023e2","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium","s__gut_metagenome",1,NA,NA,0.01,0.882
"bfa3f99aa47d488b7d62d4096f5dc2f9","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Parasutterella","s__gut_metagenome",1,NA,NA,0.005,0.967
"2a726fa29942ce949ac904fc70b642ca","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","s__uncultured_bacterium",1,NA,NA,0.01,0.877
"2a51f0756aded0623f7514b79e871acd","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella",NA,1,NA,NA,0.04,0.845
"5f700b527183a8c4c587c8c4760da20c","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__F082","g__F082","s__uncultured_bacterium",NA,1,NA,0.005,0.873
"a79bd1132ede2812a90b87daab763550","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-001","s__uncultured_bacterium",NA,1,NA,0.005,0.873
"299bb7875efdf9d77440e297576e7d0d","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-004","s__uncultured_bacterium",NA,1,NA,0.005,0.889
"a7f494f382ad168adadc3fc16d0f47bb","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_RC9_gut_group","s__uncultured_bacterium",NA,1,NA,0.005,0.953
"aedd3391c1e288587985c8cb4008a154","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_RC9_gut_group",NA,NA,1,NA,0.01,0.873
"6e16163510284e0c4ea473f7ed6e6e76","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidales_RF16_group","g__Bacteroidales_RF16_group","s__uncultured_bacterium",NA,1,NA,0.01,0.876
"b6379fd4f3a7d2c52d0d261714136c31","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-003","s__uncultured_bacterium",NA,1,NA,0.015,0.844
"6d534a09162722f86cdc289491fa3cec","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,NA,1,NA,0.02,0.903
"7d9a7f29775c1b1f2eb5aa21b37a62ff","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium",NA,1,NA,0.02,0.938
"e610263a6df1d25337ce72a5eeb443f1","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__uncultured","g__uncultured","s__uncultured_bacterium",NA,1,NA,0.035,0.822
"a1d55749870714268a86eae4ee9eb350","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_bacterium",NA,1,NA,0.005,0.896
"6662d8fbd0b4c8d648141aa091f61484","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA,NA,1,NA,0.04,0.818
"e5b90de6bcccdab0a8bfe772c4d83424","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__uncultured",NA,NA,1,NA,0.025,0.838
"aa550a2a62de9e65e91df6ea3ad694dd","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__Clostridia_vadinBB60_group","g__Clostridia_vadinBB60_group","s__uncultured_rumen",NA,1,NA,0.005,0.824
"330fe805d5d7aa85621375d06899713d","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Anaerorhabdus]_furcosa_group","s__uncultured_bacterium",NA,1,NA,0.005,0.825
"73fdd05c2c1fb8ca862d81781de378c2","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010","s__unidentified",NA,1,NA,0.005,0.846
"7e69e5a8876edc644cd685baced6fba4","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__unidentified_rumen",NA,1,NA,0.005,0.854
"1e93a8551fb60233923fc90c744b7987","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Papillibacter","s__uncultured_bacterium",NA,1,NA,0.005,0.873
"69dda90126f049364d6aafabbc44fe41","p__Firmicutes","c__Clostridia","o__Clostridia","f__Hungateiclostridiaceae",NA,NA,NA,1,NA,0.005,0.878
"d94d458615a2d9c7684689fe5fbbe4d0","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__uncultured_bacterium",NA,1,NA,0.005,0.88
"6a034e26583d11ee18ad102788be7d10","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__uncultured","s__uncultured_rumen",NA,1,NA,0.005,0.883
"a5b245e7a831035a9e2dead708301e56","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__uncultured_rumen",NA,1,NA,0.005,0.884
"d9e7ad60f0adedb68d4def5cd9180f2b","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured","s__uncultured_bacterium",NA,1,NA,0.005,0.889
"2cd4371e2394bdef76c4f68dd3dbe956","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-009","s__uncultured_bacterium",NA,1,NA,0.005,0.892
"c3ad161334e69c38318d41808df62838","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group","s__uncultured_bacterium",NA,1,NA,0.005,0.895
"61b5b6100af0d52d1364cc242035667b","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__uncultured_bacterium",NA,1,NA,0.005,0.898
"d25d0560f9ab810bdee4d19caa8bd20e","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Anaerofustaceae","g__Anaerofustis","s__uncultured_bacterium",NA,1,NA,0.005,0.901
"7efccdf082ad9d4f7a9fc05f6b302699","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__uncultured_bacterium",NA,1,NA,0.005,0.901
"bec98c990a532d2f13786d99d97eab43","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_Clostridiaceae",NA,1,NA,0.005,0.902
"6a37e286f8bf7b4292865668f71e2ae4","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_prokaryote",NA,1,NA,0.005,0.904
"b8fe85d1f305fdeaf73109c01639fb16","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group","s__uncultured_rumen",NA,1,NA,0.005,0.912
"d8734b2b721115b2ebab69900e532510","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured",NA,NA,1,NA,0.005,0.912
"2e1c06fa4faf7aa618c7fd9ae13adb97","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__uncultured_bacterium",NA,1,NA,0.005,0.917
"c62ba98055d898bb33587251b274f34d","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group",NA,NA,1,NA,0.005,0.926
"adf4db8f2b60d52a48596ae425b6b0f9","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__Clostridia_vadinBB60_group","g__Clostridia_vadinBB60_group","s__uncultured_bacterium",NA,1,NA,0.005,0.927
"5571293a6bca99f01527251e76c33fd8","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__UCG-004","s__uncultured_bacterium",NA,1,NA,0.005,0.927
"c31e50885551a70bf7db7693b074f862","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__Izemoplasmatales","g__Izemoplasmatales","s__uncultured_bacterium",NA,1,NA,0.005,0.928
"958a518080466103d9a4804ac8c68284","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__uncultured_bacterium",NA,1,NA,0.005,0.93
"44b2c21e6aff0de62602fb97d31503b2","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae",NA,NA,NA,1,NA,0.005,0.937
"a7ab0c24e85cdd83de31d3611918a9f3","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA,NA,1,NA,0.005,0.944
"50efc974dc15941345bcff5b4e96e15a","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA,NA,1,NA,0.005,0.944
"9e32db097b7859de9fd0b2d63806d3ee","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010",NA,NA,1,NA,0.005,0.945
"3304d49b666075d9dd1b679ce0799f64","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010","s__uncultured_bacterium",NA,1,NA,0.005,0.946
"2ebc2629ef3584552db60f5aa6b5e817","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA,NA,1,NA,0.005,0.951
"b046b8b1a92e2e75bb2400bf3d72025f","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__uncultured_rumen",NA,1,NA,0.005,0.96
"869cf3585652868e3833c8e0ee697af6","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group",NA,NA,1,NA,0.005,0.961
"383b8027ff8ed6a08e57f9385bdccf48","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__Clostridia_vadinBB60_group","g__Clostridia_vadinBB60_group",NA,NA,1,NA,0.01,0.806
"e32dd3905737560ad5418a6cad090733","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Marvinbryantia",NA,NA,1,NA,0.01,0.812
