"ASV","Phylum","Class","Order","Family","Genus","Species","s.Hindgut_captive","s.Hindgut_wild","p.value","stat"
"9ddd698092cd1133f18745275be8baa6","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriales_Incertae_Sedis","g__Phoenicibacter","s__uncultured_bacterium",1,NA,0.01,0.811
"3c940e8af351a425bc255e9b357d50ad","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__SP3-e08","s__uncultured_bacterium",1,NA,0.005,0.816
"b6379fd4f3a7d2c52d0d261714136c31","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-003","s__uncultured_bacterium",1,NA,0.005,0.849
"a79bd1132ede2812a90b87daab763550","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-001","s__uncultured_bacterium",1,NA,0.005,0.859
"5f700b527183a8c4c587c8c4760da20c","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__F082","g__F082","s__uncultured_bacterium",1,NA,0.005,0.876
"aedd3391c1e288587985c8cb4008a154","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_RC9_gut_group",NA,1,NA,0.005,0.898
"e610263a6df1d25337ce72a5eeb443f1","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__uncultured","g__uncultured","s__uncultured_bacterium",1,NA,0.015,0.804
"43f3e88dcb2fbce625cf011424a2d01a","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-003",NA,1,NA,0.02,0.809
"cfeecc427c85c4b9a39ba5871d21eb68","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__uncultured_bacterium",1,NA,0.045,0.812
"02550274f1668f4f91d482a263b09d67","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_rumen",1,NA,0.005,0.809
"6662d8fbd0b4c8d648141aa091f61484","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA,1,NA,0.005,0.852
"a1d55749870714268a86eae4ee9eb350","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_bacterium",1,NA,0.005,0.932
"fe91c235feb6160a3a4718c4fedd24bf","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae",NA,NA,1,NA,0.005,0.822
"7efccdf082ad9d4f7a9fc05f6b302699","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__uncultured_bacterium",1,NA,0.005,0.852
"2bcf425025be62937ec12fbc5cb71906","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Oribacterium","s__uncultured_bacterium",1,NA,0.005,0.862
"172253762c87148dba70c41ed4908d31","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__uncultured","s__uncultured_bacterium",1,NA,0.005,0.883
"c62ba98055d898bb33587251b274f34d","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group",NA,1,NA,0.005,0.887
"d8734b2b721115b2ebab69900e532510","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured",NA,1,NA,0.005,0.899
"65aaf8a00f1b087f517be646319d880e","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__uncultured_bacterium",1,NA,0.005,0.903
"c3ad161334e69c38318d41808df62838","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group","s__uncultured_bacterium",1,NA,0.005,0.906
"eca16f5d7a614cac3895480a0ef3a92a","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA,1,NA,0.005,0.907
"3304d49b666075d9dd1b679ce0799f64","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010","s__uncultured_bacterium",1,NA,0.005,0.937
"7e69e5a8876edc644cd685baced6fba4","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__unidentified_rumen",1,NA,0.01,0.824
"055aec5edbd03daea137c9fe44ec23af","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group",NA,1,NA,0.01,0.827
"6ca8117573221c950719b6a87ddbd5e2","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010","s__uncultured_rumen",1,NA,0.01,0.838
"61b5b6100af0d52d1364cc242035667b","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__uncultured_bacterium",1,NA,0.01,0.868
"1e93a8551fb60233923fc90c744b7987","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Papillibacter","s__uncultured_bacterium",1,NA,0.02,0.802
"44b2c21e6aff0de62602fb97d31503b2","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae",NA,NA,1,NA,0.03,0.906
"50efc974dc15941345bcff5b4e96e15a","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA,1,NA,0.035,0.918
"3a4469166bc6c188fba56da439ccd078","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_rumen",1,NA,0.04,0.819
"bcb825e57ac895f8bd369395774b4bdc","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium",NA,1,NA,0.04,0.866
"2a51f0756aded0623f7514b79e871acd","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella",NA,1,NA,0.03,0.819
"9ec33abccbefe667f5f755bf714c8953","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__uncultured_bacterium",1,NA,0.015,0.852
"02ecd7df46d9bd8a6f9c59f300c72e61","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema",NA,1,NA,0.04,0.811
"60f1d2183c3663fc8d385631d75616ff","p__Verrucomicrobiota","c__Kiritimatiellae","o__WCHB1-41","f__WCHB1-41","g__WCHB1-41","s__uncultured_bacterium",1,NA,0.005,0.852
"b291bc3947b8abb23963b6d66f740495","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Denitrobacterium","s__uncultured_bacterium",NA,1,0.005,0.806
"9ddd698092cd1133f18745275be8baa6","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriales_Incertae_Sedis","g__Phoenicibacter","s__uncultured_bacterium",NA,1,0.01,0.811
"3c940e8af351a425bc255e9b357d50ad","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__SP3-e08","s__uncultured_bacterium",NA,1,0.005,0.816
"8329871210cb24641d6ebd970e1408d8","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella",NA,NA,1,0.005,0.818
"b6379fd4f3a7d2c52d0d261714136c31","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-003","s__uncultured_bacterium",NA,1,0.005,0.849
"3dba55efbc765894a33778d0d872d74f","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__uncultured","s__uncultured_rumen",NA,1,0.005,0.856
"a79bd1132ede2812a90b87daab763550","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-001","s__uncultured_bacterium",NA,1,0.005,0.859
"89136fea274e3d2cf943c8d9ad4b924f","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__dgA-11_gut_group","s__uncultured_bacterium",NA,1,0.005,0.861
"5f700b527183a8c4c587c8c4760da20c","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__F082","g__F082","s__uncultured_bacterium",NA,1,0.005,0.876
"1780b40f2c7fc9929a446e3979bf4ce3","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__F082","g__F082",NA,NA,1,0.005,0.895
"aedd3391c1e288587985c8cb4008a154","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_RC9_gut_group",NA,NA,1,0.005,0.898
"4c8e581aa417a4c87cedced71a574d9e","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_RC9_gut_group","s__uncultured_Bacteroidales",NA,1,0.005,0.933
"299bb7875efdf9d77440e297576e7d0d","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-004","s__uncultured_bacterium",NA,1,0.005,0.939
"2dcd8a6f7d1d5d648ab4b540bfe78528","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__CAP-aah99b04","g__CAP-aah99b04","s__uncultured_bacterium",NA,1,0.005,0.973
"57b6251d9b384182bd86f155ae18c402","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidales_UCG-001","g__Bacteroidales_UCG-001","s__uncultured_bacterium",NA,1,0.01,0.821
"e610263a6df1d25337ce72a5eeb443f1","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__uncultured","g__uncultured","s__uncultured_bacterium",NA,1,0.015,0.804
"e953589e5c026dd14a6eadf6577d66d4","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidetes_BD2-2","g__Bacteroidetes_BD2-2","s__uncultured_rumen",NA,1,0.015,0.837
"3d6a355d6f9b42315e6881d78d3d2505","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_RC9_gut_group","s__uncultured_Rikenella",NA,1,0.015,0.878
"43f3e88dcb2fbce625cf011424a2d01a","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-003",NA,NA,1,0.02,0.809
"7d9a7f29775c1b1f2eb5aa21b37a62ff","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium",NA,1,0.025,0.912
"5163df945c2e562e74e7f3cc3542006d","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Flexilinea","s__uncultured_bacterium",NA,1,0.005,0.911
"02550274f1668f4f91d482a263b09d67","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_rumen",NA,1,0.005,0.809
"6662d8fbd0b4c8d648141aa091f61484","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA,NA,1,0.005,0.852
"a1d55749870714268a86eae4ee9eb350","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_bacterium",NA,1,0.005,0.932
"e5b90de6bcccdab0a8bfe772c4d83424","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__uncultured",NA,NA,1,0.015,0.829
"a10cb1be0fef50a2f5334b0d00df104f","p__Elusimicrobiota","c__Endomicrobia","o__Endomicrobiales","f__Endomicrobiaceae","g__Endomicrobium","s__uncultured_rumen",NA,1,0.005,0.963
"6674915c1dce3357cf8233c9790d813e","p__Fibrobacterota","c__Fibrobacteria","o__Fibrobacterales","f__Fibrobacteraceae","g__Fibrobacter","s__uncultured_bacterium",NA,1,0.005,0.877
"bfd0e35f2147dede8fb5068966d2209d","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__unidentified_rumen",NA,1,0.005,0.804
"662218bf3f2d78d26369b43e51755558","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Catenisphaera","s__uncultured_bacterium",NA,1,0.005,0.811
"eec80a3ca053ce73650c1eff9c3d0a36","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_Clostridium",NA,1,0.005,0.816
"14aef78a96135a9200203e450ad730ed","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-004","s__uncultured_Bacteroidetes",NA,1,0.005,0.816
"fe91c235feb6160a3a4718c4fedd24bf","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae",NA,NA,NA,1,0.005,0.822
"352474d3cc8257636e084b9d08b4e5d0","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Defluviitaleaceae","g__Defluviitaleaceae_UCG-011","s__uncultured_bacterium",NA,1,0.005,0.843
"7efccdf082ad9d4f7a9fc05f6b302699","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__uncultured_bacterium",NA,1,0.005,0.852
"2bcf425025be62937ec12fbc5cb71906","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Oribacterium","s__uncultured_bacterium",NA,1,0.005,0.862
"69dda90126f049364d6aafabbc44fe41","p__Firmicutes","c__Clostridia","o__Clostridia","f__Hungateiclostridiaceae",NA,NA,NA,1,0.005,0.865
"330fe805d5d7aa85621375d06899713d","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Anaerorhabdus]_furcosa_group","s__uncultured_bacterium",NA,1,0.005,0.866
"9716dc784372cebacd6ffe160d0d5af5","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__uncultured","s__uncultured_Erysipelotrichaceae",NA,1,0.005,0.869
"c31e50885551a70bf7db7693b074f862","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__Izemoplasmatales","g__Izemoplasmatales","s__uncultured_bacterium",NA,1,0.005,0.877
"0fab6cb5f3d90fd7f8d0ef22059de623","p__Firmicutes","c__Bacilli","o__Acholeplasmatales","f__Acholeplasmataceae","g__NED5E9","s__uncultured_rumen",NA,1,0.005,0.879
"f5f7b4b22d5c66c6c1e40a1e984fd0df","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-008","s__uncultured_rumen",NA,1,0.005,0.88
"172253762c87148dba70c41ed4908d31","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__uncultured","s__uncultured_bacterium",NA,1,0.005,0.883
"bec98c990a532d2f13786d99d97eab43","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_Clostridiaceae",NA,1,0.005,0.885
"c62ba98055d898bb33587251b274f34d","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group",NA,NA,1,0.005,0.887
"383b8027ff8ed6a08e57f9385bdccf48","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__Clostridia_vadinBB60_group","g__Clostridia_vadinBB60_group",NA,NA,1,0.005,0.888
"aa550a2a62de9e65e91df6ea3ad694dd","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__Clostridia_vadinBB60_group","g__Clostridia_vadinBB60_group","s__uncultured_rumen",NA,1,0.005,0.892
"d8734b2b721115b2ebab69900e532510","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured",NA,NA,1,0.005,0.899
"65aaf8a00f1b087f517be646319d880e","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__uncultured_bacterium",NA,1,0.005,0.903
"6a034e26583d11ee18ad102788be7d10","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__uncultured","s__uncultured_rumen",NA,1,0.005,0.903
"c3ad161334e69c38318d41808df62838","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group","s__uncultured_bacterium",NA,1,0.005,0.906
"958a518080466103d9a4804ac8c68284","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__uncultured_bacterium",NA,1,0.005,0.909
"5571293a6bca99f01527251e76c33fd8","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__UCG-004","s__uncultured_bacterium",NA,1,0.005,0.911
"61608fa08bcf72f89120106b2380073e","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillospiraceae","s__uncultured_rumen",NA,1,0.005,0.916
"73fdd05c2c1fb8ca862d81781de378c2","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010","s__unidentified",NA,1,0.005,0.919
"2cd4371e2394bdef76c4f68dd3dbe956","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-009","s__uncultured_bacterium",NA,1,0.005,0.929
"d9e7ad60f0adedb68d4def5cd9180f2b","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured","s__uncultured_bacterium",NA,1,0.005,0.93
"425a59286be22347aef98bb4dce59feb","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured",NA,NA,1,0.005,0.934
"3304d49b666075d9dd1b679ce0799f64","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010","s__uncultured_bacterium",NA,1,0.005,0.937
"2045e346ec865bfa2d6b68702908c662","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_bacterium",NA,1,0.005,0.94
"9e32db097b7859de9fd0b2d63806d3ee","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010",NA,NA,1,0.005,0.942
"adf4db8f2b60d52a48596ae425b6b0f9","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__Clostridia_vadinBB60_group","g__Clostridia_vadinBB60_group","s__uncultured_bacterium",NA,1,0.005,0.944
"a5b245e7a831035a9e2dead708301e56","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__uncultured_rumen",NA,1,0.005,0.949
"5b9f9f32c262fdb23708f63e0dc9a2fa","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010","s__uncultured_Clostridia",NA,1,0.005,0.956
"68fb4d459ee665d8772089db570178f2","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetitomaculum",NA,NA,1,0.005,0.956
"fec1d6943b9fdf03df387135d74a9163","p__Firmicutes","c__Clostridia","o__Clostridia","f__Hungateiclostridiaceae","g__Saccharofermentans","s__uncultured_rumen",NA,1,0.005,0.98
"d94d458615a2d9c7684689fe5fbbe4d0","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__uncultured_bacterium",NA,1,0.01,0.821
"7e69e5a8876edc644cd685baced6fba4","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__unidentified_rumen",NA,1,0.01,0.824
"055aec5edbd03daea137c9fe44ec23af","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group",NA,NA,1,0.01,0.827
"6ca8117573221c950719b6a87ddbd5e2","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010","s__uncultured_rumen",NA,1,0.01,0.838
"fe3f0001800a7f7f1da01ccc663283ce","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__Izemoplasmatales","g__Izemoplasmatales","s__gut_metagenome",NA,1,0.01,0.849
"bc51fe04be27fe44fab739b82629a63b","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_UCG-001","s__uncultured_rumen",NA,1,0.01,0.855
"61b5b6100af0d52d1364cc242035667b","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__uncultured_bacterium",NA,1,0.01,0.868
"6a37e286f8bf7b4292865668f71e2ae4","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_prokaryote",NA,1,0.01,0.874
"d032804dc1588ea13b529cfc46deeaa9","p__Firmicutes","c__Clostridia","o__Clostridia","f__Hungateiclostridiaceae","g__Saccharofermentans","s__uncultured_bacterium",NA,1,0.01,0.882
"8c72a2da354bb84e4706db172c6a76b2","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__Izemoplasmatales","g__Izemoplasmatales",NA,NA,1,0.01,0.902
"dc831f4cc2b8c8c7e4a2bf8c323f0c8e","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-006","s__uncultured_rumen",NA,1,0.01,0.914
"7d3968bd362577bfc420100f600555cc","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__UCG-004","s__uncultured_rumen",NA,1,0.015,0.803
"1e93a8551fb60233923fc90c744b7987","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Papillibacter","s__uncultured_bacterium",NA,1,0.02,0.802
"ecbebd1d36de62a82a3af0dd8bb84df0","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus",NA,NA,1,0.02,0.84
"7c7018c2f083cc594b984539aca2f43a","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia",NA,NA,1,0.02,0.87
"44b2c21e6aff0de62602fb97d31503b2","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae",NA,NA,NA,1,0.03,0.906
"50efc974dc15941345bcff5b4e96e15a","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA,NA,1,0.035,0.918
"3a4469166bc6c188fba56da439ccd078","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_rumen",NA,1,0.04,0.819
"bcb825e57ac895f8bd369395774b4bdc","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium",NA,NA,1,0.04,0.866
"e2a09d192b85f48ff9ab569b2eb123b2","p__Patescibacteria","c__Gracilibacteria","o__Absconditabacteriales_(SR1)","f__Absconditabacteriales_(SR1)","g__Absconditabacteriales_(SR1)","s__uncultured_bacterium",NA,1,0.01,0.816
"bb335ff31801605f02022da357d89869","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Succinivibrionaceae","g__Succinivibrionaceae_UCG-002","s__uncultured_bacterium",NA,1,0.005,0.801
"2a51f0756aded0623f7514b79e871acd","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella",NA,NA,1,0.03,0.819
"9ec33abccbefe667f5f755bf714c8953","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__uncultured_bacterium",NA,1,0.015,0.852
"02ecd7df46d9bd8a6f9c59f300c72e61","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema",NA,NA,1,0.04,0.811
"60f1d2183c3663fc8d385631d75616ff","p__Verrucomicrobiota","c__Kiritimatiellae","o__WCHB1-41","f__WCHB1-41","g__WCHB1-41","s__uncultured_bacterium",NA,1,0.005,0.852
"0cd423eb0854a4b00843ec5ad3d1ccb9","p__Verrucomicrobiota","c__Lentisphaeria","o__Oligosphaerales","f__Oligosphaeraceae","g__horsej-a03","s__uncultured_bacterium",NA,1,0.005,0.862
